comment,label
LEGEND GOD!!!,2
Thank you Sir!,2
God of algorithm.. Great sir ðŸ‘ðŸ‘ðŸ‘,2
Abdul Bari is Back.. King is BackðŸ˜Ž,2
"Abdul ""God"" Bari",2
Thanks sir.,2
"Thank you sir for making this video,on Tuesday my DAA paper is thereðŸ™ðŸ»",2
"Thank you, thank you , thank you... Its my birthday today... n dis video feels like a gift . Best teacher for algo.",2
thank you very much sir for this video,2
Your videos not only teach but also inspire. They create a feeling that Algorithms can be conquered.,2
love u sir... the exact topic which I was searching .. thank you so much :),2
Legend is back again....,2
Best algorithms teacher on youtube ! Your videos helped me clear 621 with an A ! Thank You !,2
"Sir you're the one of the best Programming ,Data Structures and algorithms professors I have ever met in my entire life.",2
Sir ab ky mtlb...ab to humara ADA ka paper ho gya,2
Sir aaj hi DAA ka paper deke aaya hun 10 marks me aaya yeah question,2
Welcome back,2
THANKU sir,2
Thank you so much sir ðŸ™ðŸ™,2
Very useful ðŸ™ðŸ‡®ðŸ‡³,2
Sir you can spend all your life from the blessings and appreciations of the fellow students around the world.,2
Amazing! Thank you!,2
Amazing explanation sir..... Thank you very much...........,2
"Dear Abdul Bari Sir, Thank you So much for all of your videos , which you have provided that too for free in a time where education has certainly became a business may god give you more and more strength and all your dreams come true...#beautyofIndia Yours Thankfully, Abhinav, Indore(M.P.)",2
the true legend,2
Excellent sir .It is very useful for me,2
Thank you,2
Thanks sir,2
"thanks a lot sir, love the way you teach, its mesmerizing.",2
Thank you sir good explanation,2
This is the Best Explanation available on this topic on internet so far.... thank you sir,2
Assalamu Alaikum Sir there is no one like you in teaching field,2
ABDUL YOU ARE THE MAN!,2
"great videos,,thanks sir",2
Thank u very much,2
Thank you sir for all videos on DAA,2
Got an exam tomorrow and here I am watching this ..Thank you so much sir <3,2
"Thank you, you are my savior! :)",2
Great explanation..,2
Thanks .... nice explaination,2
Your videos are very very helpful!!! Thank you sir!,2
Thank u sirðŸ‡§ðŸ‡©,2
"sir,thank u very much.Excellently explained.",2
Sir .Thank u very much for all videos on DAA....V all gave the best in our exams just because of ur videos....the way u thought is just perfect and very effective to us sir...Once again thank you very much sir.. Looking further for many videos ....,2
Awesome teaching nobody can teach like this..,2
Precious videos,2
Thank you. Added this video for later as the core content is covered in previous video and there are many more left in the list!ðŸ˜,2
Thank you very much..,2
Congratulations for 100k Subscribers Sir ðŸ˜ðŸ˜,2
"thanks sir, u r very good teacher ðŸ’•",2
"Sir you are the best , doing wonderful job by helping all of us",2
Wow....... very nice explanation....sir ...,2
Return of legend....ðŸ˜Š,2
"Thanks a lot for starting DP series, sir. One of the best YouTubers",2
Nice explanation sir..(Y) #JAVAAID,2
"Masha-Allah, You are simply a Legend Sir, May Allah swt Reward You for the justice you have been doing with students. ./An Old Student",2
Nice,2
Thanx sir....,2
May Allah gives you the best. The way your explain is much better than a professor who is graduated form Ivy League universities . I bought his course in udmy and the materials became easy.,2
"Very helpful. I had to create a vision check system on a 2D grid on a game I was working on, based on this algorithm. First I tried with wikipedia, and found out that the pseudocode there is incorrect. This video helped me to understand how the algorithm works. Once I found out is was trivial to tweak it for all 4 octants. Thank you very much.",2
"People like you are blessed with a beautiful skill, ""Teaching"". Thanks for being such a good teacher to all of us.",2
Sir your lectures are too good.. Thank you sir,2
Best explanation of Bresenham's algorithm I have ever heard.,2
Good explanation.....,2
outstanding love from bd,2
Sir you are super explaining unbelievable.,2
I liked so much this video! Thank you.,2
you are the only one who explaind derivation of breshanham algorithm on youtube even my university teacher didnt explained it,2
Thank you master,2
Thank you sir really nice explanation,2
You sir helped me alot. Thank you,2
Thank you Abdul Bari! Your lessons are very useful.,2
Example is good it help me alot to understand this..,2
Very interesting,2
really nice explanation,2
very well explained.thankssssss,2
This is the best so far I have seen on Bresenham's algorithm explanation. You deserve an accoladesðŸ‘,2
sir why don't u come to our clg sir. u r jst grt,2
"Hey, i am studying Virtual Reality and you helped me with graphics do much.. thanks â¤",2
Thank you sir it is very usefulðŸ˜³ðŸ˜‡and it's very helpful for my exams thank u so much sir,2
sir you are really great especially your way of explanation i haven't seen anyone like you on youtube,2
I Just started loving you sir..... Too good... MashaAllah Sir MashaAllah Loveeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee Youuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu Sirrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,2
Well done sir,2
God.,2
Nice explanation... examples are explained very easily and carefully...,2
Super Ji,2
thank you sir helped alot.....,2
that was very helpful sir thank you,2
Excellent !!!,2
your lecture is very exclusive i have never seen such lecture.,2
Excellent lecture.thank you sir,2
Nice explanation sir..,2
Nice,2
GODSEND!,2
Very good job sir. It's very easy to learn while ur teaching. Thank you sir.,2
Great teaching Sir!,2
That is very very very helpful...thank you sir,2
"Awesome, Thank you so much ! <3",2
Thanks sir,2
Thanku so much sir....u have explained it very well....thanx alot,2
excellent sir,2
best lecture i have ever seen,2
no matter whose 9 dislikers are .....,2
Thank you sir,2
Thank you so much,2
The only bad thought that comes to my mind while watching your videos is the difference between your method of teaching ðŸ‘Œ and our college teachers ðŸ’©..,2
God has manifested to me in your form. Thank you.,2
asalamu alykum,2
"Very good explaintion, sir thanks u for video",2
You are always best in any case...,2
Sir ji Thankyou Thankyou bahut sara....,2
bhagwan ho tummm,2
*Thank you so much...now i clearly understood about Bresenham's Algo.* ðŸ‘ðŸ˜,2
Thank you!you are best teacher!,2
GOOD TEACHING SIR ðŸ‘ŒðŸ‘ðŸ‘Œ,2
Great job sirðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘,2
Thanxxx a lot sir gðŸ‘ŒðŸ‘ŒðŸ™ðŸ™,2
Moj aa gyiðŸ˜‡,2
Great..great...great....simple and amazing explaination....i did not get bored even 1 sec.....superbbb.,2
Sir you are outstanding!!! You made it crystal clear...thank you so much for putting your efforts.ðŸ˜Š,2
Very well explained,2
"The best teacher i have ever seen,the way you explain is awsome.",2
Thamk you sir... For uploading,2
I love you sir Got good marks in DAA all thanks to your videos,2
What a legend,2
Thank-you sir.... you accepted our requests..,2
Best teacher ever.,2
Fantastic explanation sir. Helped me immensely.,2
Love u so much your teaching style sir!,2
Much better than Tushar Roy and much much better then GeeksforGeeks ! Very intuitive explanation,2
Here's the algorithm implemented in java https://gist.github.com/RitamChakraborty/bd114a2201a2faff2e25905eec2f6b3b,2
great explanation,2
"Man really good explanation even for dummies,simple and clear.Nice video. Thanks",2
THANK YOU!,2
Excellent explanation,2
Really great.,2
You are great!!,2
You're a great teacher.,2
night before the algorithm exam :D,2
wonderful explanation... thank you sir.,2
great lesson!,2
Very nice explanation,2
Thank you.,2
Best,2
good tutorial,2
sir its cool,2
very good explanation sir thanq,2
"Good job, Abdul.",2
Great Abdul Sir..,2
Well explained ðŸ‘ŒðŸ‘Œ...thank uh sirðŸ˜ŠðŸ˜Š,2
you explain very well,2
I looooove youuu. Thaaaaank You!,2
"U r great sir, yrr method of teaching this sub is too excellent.you make this sub easier.",2
your teaching skills is excellent this video help me alot..,2
So the hash function is dynamic and user's wish.. Fine thanq sir,2
LEGEND ARY GOD1!!!,2
You're a life saver! Thanks man,2
This video clears my confusion by starting simple. I love how you go from naive hash function to show the importance of picking a good hash function to avoid collisions. Great video and subbed.,2
sirji aap heera ho,2
thx I think that was the best and clearest explanation.,2
Brilliant,2
Wonderful explanation.Thank you sir,2
Explained well ðŸ‘,2
Great work. Made the algo crystal clear,2
I am fan of your teaching.,2
God bless you,2
Wonderfully clear explanation. Thank you so much! Keep up the good work.,2
"bht bdia bataya sir, mjaa agaya",2
"Thanks so much, u broke it down and built it up gradually! i understand now",2
Very clear explanation. Thank you !,2
Great Explanation thanks!,2
Ty sir,2
Thanku sir,2
"Great gradual explanation, thank you so much sir.",2
"Such patience, thank you, great explanation!",2
"Great content sir ... i have watched video of Geeks4rGeeks , TusharRoy ... but ur content was the one which actually cleared my confusion ... thank you sir",2
hello sir i am one of ur student from VANI,2
Amazing explanation,2
"Great explanation sir, you summed up the entire video in just 23 mins and after watching your video, I can understand each and every line of Cormen very easily. ThankYou Sir.",2
Very interesting,2
"Excellent , really helpfull",2
I think sir u r working in algorithm its great to se u in advance algorithm lecture,2
thank u sir for wonderful explanation,2
My professor abdul bari thank you so much for your hard work <3 God bless <3,2
"I have learned so much from you... cant thank you enough! I got your c++ course a while back, and just got your data structures course now. Cant wait to start :)",2
thanksâœ¨âœ¨,2
This man is owsome Singham....full of knowledge...,2
Thank you sir!!!,2
Dear sir I have cleared my exams after taking lectures from ur videos Thank you so much sir...ðŸ˜€,2
Thanks sir,2
Absolute legend,2
"From MÃ©xico, I agree with all the previous comments. Your explanation is clearer than my algorithms course. Great job sir!",2
simply excellent.,2
Abdul Sir aap na hote toh yahan back pe back lag rhi hoti algo ds mein. Thanks,2
Thank you soo much! You are great at explaining! God bless you!,2
well explained!!need more efforts...,2
U are the best! Keep it up!! You are the best Algorithm! ^^ ^^ ^^,2
So nice explain.Thank you sir.,2
Thank you for your video!,2
You're a really great teacher! (That's all I can say),2
Please be my lecturer. Our lecturers are so dumb :),2
bht badiya samjhaya,2
Sir you explained the code very well but didn't told how exactly one will arrive at that from scratch... Specially that last part (max of function) Thanks anyways for solid explanation...,2
"I love you, Sir",2
Thank you so much for this amazingly clear explanation.,2
"Abdul Bari sir, hats off to you. Love from Bangladesh <3",2
"Thank you sir, this was really helpful",2
You're a public treasure.,2
Thanks Alot Sir .. Really u clear many concepts..... JazakAllah.....,2
"Thank you sooo much , sir!",2
thank you very much. it was really useful. best for you in your life,2
Guru ji,2
Sir you are best <3,2
guru aham bhramasmi,2
apni best bhai,2
bosss,2
bosss,2
My hero,2
Awesome!!!,2
"Searching for a topic and just hoping to find your video on that, cause no explanation can beat yours!! Thank you sir!",2
G O D,2
Thank you sir for your effort .God bless you,2
Donate to his Patreon page guys(I just did)! Even $5 would help to keep these extraordinary lectures alive!,2
Thank you sir....,2
I will tell my juniors to pay college fees to you instead of my fucked up college.,2
FINALLY! A video that doesn't have super-technical language and the entire method is so easy to understand.,2
Best algorithms channel on youtube.,2
Amazing teacher. God bless you sir,2
you are such a great teacher. thank you very much and god bless you,2
You are best Teacher. Best of best,2
When Tomorrow is Semester End Exams....Then Abdul Bari Sir Videos will give you Knowledge of Full marks !!!!,2
Just awesome!!!! My university's lecturer was failed to explain it and made it hard for everyone. You make it so easy as possible. Hats off sir!,2
Thank you so much for this amazingly clear explanation. If I had to pay in order to subscribe to you I would do so happily!,2
"Thank you mr.Bari. Last time I had watched your video , I picked up a very little. Now I could understand thoroughly because I had worked out this problem and it cleared my all doubts and I can apply it some other problems . Moral of the story is work out more problems and come to a such an intelligent teacher .",2
this man is doing great job by helping students with his videos may god fill his all dreams. best wishes )-,2
currently in standard 7 and i am able to understand all the concepts just because of you :) . you are my guru,2
Thank you Sir for such a wonderful lecture,2
"I really appreciate your way of teaching. Not even for a moment, you made me feel like this is a very complex topic. I have seen very few teachers teach this way. This makes me think how to communicate better with my colleagues. I think the opposite person should not feel like it is a complex issue.",2
"If you want to understand the Longest Common Subsequence problem clearly, I think this is the video you must to watch",2
Awesome explanation !,2
simply beautiful.,2
you rock!,2
"really thanks to the courses, finally understand this question clearly :)",2
OMG! A living legend!,2
Awesome,2
awesome explanation!! you have explained this with so much ease..hats of to you.,2
Excellent work sir,2
Damn what a good video lol,2
"OMGSH, YOU MAKE IT SO CLEAR. Thank you so much for all your hard work with finding the correct examples and making this video so neat and short, but complete. Thank you soo much!",2
My lecturer just explained it to us vaguely. But now I see why some things happen. Thank you Sir.,2
"Sir, The way that you teach is just incredible you not only clear my concepts but also urge me to see all of your videos.. Thanks for uploaded these types of videos..",2
God level teaching,2
thank you,2
Thank you Sir,2
the real professsor....hats off !! thank you : ðŸ˜Š,2
"Sir, At 21:40 ,there is matching.why didnt u add 2+1 thank you sir",2
thanks,2
good explanation sir. to the point explanation specifically good for revision. your videos are helpful for me.,2
many thanks sir.,2
thank u soo much,2
Best,2
Good Example sir!,2
Thank you sir All do.. Clear,2
Thanks for teaching.,2
Amazing explanation sir :),2
Good explanations,2
thank you sir...its very helpful to me ..,2
Tq sir,2
Does input sequence matters while calculating B tree ?,2
Thanks that was helpful My professor spent 2 weeks to explain this and you just spent 8 minutes to finish this thank you again,2
Thanks a lot sir,2
"All concepts cleared, thank you sir",2
Thanks,2
Very well explained in less time...thank u sir fr making video,2
this explanation is h gonna clear my concept lifetime !! thank uh so much sir,2
"Not a critisizer... we into 2019 and getting the tutorial from one of the best tutorial site even then we lack what we actually want in the tutorial. We learn things as a work as a task as a duty as a commitment as an order as an insecurity. without knowing its purpose or enthusiasm of knowing it. without showing interest on knowing why B tree was chosen, why not any other search tree. what if we dont use Btree :| and there is no smile or happiness in learning.",2
Vry nice explanation sir... Tq u,2
Awesome sir,2
Your explanation style is great !! kudos for having a succesfull website and a channel !,2
very helpfull thx,2
great explanation!!! I dont understand how some people can dislike his videos. He is the only one on youtube who explains things so clearly and shows good examples.,2
Thank u sir...,2
great ! thank u sir 0:),2
thank you sir...,2
Best insertion explanation I've seen,2
thanks indian yute,2
dhnyavad,2
Thanks man,2
"thank you, I have seen couple of the tutorials, but this one basically on point, and gave me exact idea how to implement this.",2
Thanks! Very well explained,2
thanQ so much sir for sharing a very valueble information about awr and addm and ash,2
Imagine school like this. My attendance will be 100%,2
yasssssssssssssssssssssssssssssssssssssssssssssssssssss,2
This makes learning to Code a lot moreâ€¦ðŸ¤”â€¦interestingâ€¦ ðŸ˜‚,2
just started learning something i never bothered to do before,2
actually i learned something,2
i just came here to learn css... props on the stripping girl teaching it to you that woke me up pretty quick. i will say though the bit about rgba was new to me. so i guess its good that i stared at boobs while learning css.... i think im gonna sub... and watch the rest of this series.,2
I love this channel <3Â,2
Thank you so much!!! You've saved me as well! ðŸ¤—,2
"You are life saver!! I am doing my Masterâ€™s dissertation, and your video has helped a lot!!",2
Wow that good ...thanks man. ðŸ˜ƒ,2
love you so much its prove helpful for my quiz,2
loved it,2
Many thanks,2
You save me bro... love ya ðŸ˜˜,2
Thanks,2
thanks a lot for this video.,2
Thank you!,2
Wow! Thanks!,2
Thanks for the to the point Video it was helpful for me. Learnt something new today,2
Videos like this should be stored in digital archives of every known nation and also sent out on the International Space Station as well as any upcoming sattelites or Mars rovers and such.,2
This is the easiest way to explain it. Thank you very much.,2
Thanks so much for this video. It's very through and explains something that could be very frustrating in very simple and easy to follow steps. Bookmarking this video for future use.,2
Can't thank you enough!! Suuuuuuuuuuuper helpful!,2
"Thank you, thank you, thank you. Should have watched this 2 hours ago.",2
"This is how a tutorial supposed to be, straight to the point. No shitty intro, no music, no bullshit. Good fucking job",2
This video was very helpful and in less time! Others that were 3 times as long were useless! Thanks for sharing.,2
"LITERALLY THE ONLY VIDEO THAT HELPED ME.... THANK YOU. FUCK ALL THOSE OTHER ""TUTORIALS"" OUT THERE.",2
You're fuckin awesome!,2
I FUCKING LOVE YOU. I've been lookg of how to do this for years and this is the first thing ever that actually did it!,2
"the main issue why for some word users this lesson doesn't work is in one step: on 1:07 see Design tab and you need to mark under it ""different first page"" - then your first title page wouldn't have page number, and in Page number format choose start from 0 :) that helped for me, and thanks for vid :) Simple How - you can put it in your vids description :)",2
YOU SAVED MY LIFE! I can finally do my dissertation numbering! thank you so much!!!,2
"Sir, are these lectures also helpful who is preparing for GATE exam or we prefer any book for advance learning ???",2
I always become speechless when I watch your video lectures. What can I comment on your video lectures ?,2
Great video,2
This really is a very crisp and effective tutorial,2
Thanks,2
"it was much helpful,,,,tnku",2
ðŸ‘ðŸ»ðŸ‘ðŸ»ðŸ‘ðŸ»,2
This is the best !! The tutor is the best in the business ..!!,2
Terrific presentation! Thank you!,2
Thanks for this beautiful session :),2
Thank u for this awesome video,2
very well summarized,2
"Very great presentation (polarity = +1, subjective=0.8)",2
I have been looking for a long time for a helpful tutorial that threads these subjects together! Thank you VERY MUCH. You're a great and comical teacher. Thanks again! you the bomb!,2
"wow, i only wish there was such great seminar in around my area.",2
thank you that was very clear. easy to understand,2
This is one of the best NLP tutorials I have gone through in a long while... Awesome pedagogy. She simply made it super intuitive for a newbie like me. Thanks a lot!,2
it is best lecture. it help me understood lots of concepts and understand data science more,2
Amazing tutorial! Thank you so much Alice!!,2
OMG Thank you so much for this wonderful lesson!,2
Great Lecture.....,2
"Awesome lecture, thank you very much!",2
amazing ! super helpful!,2
Thank you for your presentation and materials. The tools taught are clear and easy to follow. I like your deliberate and relaxed teaching style. It is most helpful.,2
Great tutorial and great Ohio NLP initiative! Everything you need to know to delve into the awesome world of Data Science. Congrats Alice for the superclass!,2
Fantastic!,2
"TextBlob(""She is so nice and professional at the same time. I like that."").sentiment Sentiment(polarity=1.0, subjectivity=0.0) Thank you Alice! :)",2
A great great tutorial. Huge Thanks for sharing this knowledge!,2
This is the type of video i've been exactly looking for.,2
"Having watched Hassan's comedy special and knowing that the topic did involve a lot of talking about parents, I am really impressed with the topic identification feature of this!",2
Thank you Alice Zhao for video,2
Way better explanations than I received from 10 hours lecture. Thanks so much!,2
"I am not sure, but probably the best course about NLP in 2 hours",2
That was amazing! :) Thank you!!!,2
interesting lecture with interesting english,2
interesting lecture with interesting english,2
Currently doing my Final Year Project which include some Natural Language Processing Techniques and I'm glad to have chanced upon this video. It has given me whatever I needed from Data Cleaning till the applications (especially Topic Modelling) :),2
It's amazing thank you,2
Great video! Very clear introduction to an interesting topic!,2
"Impeccable tutorial about NLP! You are an awesome teacher, Alice! Keep your Data Science drive going. :)",2
"6 minutes into the video, and i know im in for a great ride.",2
"This may be the best Python tutorial I've followed, and I've done quite a few. All of the concepts covered, even the very complex ones, are explained in a way that makes it super-easy to understand but detailed enough that I know what's happening. I learned a LOT from this. Thank you, Alice!!",2
She is brilliant! ðŸ˜Š,2
Perfect. Absolutely perfect. Amazing presentation. Thanks for sharing.,2
Terrific presentation Alice,2
This is the best tutorial I ever had. it is simply amazing the method you use to explain something. Thank you very much. I really loved it!!,2
"In Love with Data Science, Extremely good presentation, Just Loved It,",2
Thx,2
Thanks a lot for this tutorial its add a lot of information and made a good background of the data science,2
this was beyond awsome! (this text was not automatically generated),2
Omg this was SOOO helpful!!,2
"Excellent really well developed the subject clear and interesting to follow, thank you",2
One video covering all the topic.Nice video,2
"I love how she didn't shy away from the curse words. Basically, she was professional about it and everyone else including her were like ""we're all adults here, and we have a goal we're trying to reach"". I really enjoyed this video and her demo gave me a lot of little ideas for my projects. Thank you for uploading this!",2
The tutorial was very helpful in providing step by step guidance on NLP techniques in a simplified way! enjoyed the whole demo.,2
very informative!..thank you..,2
Just Loved the Way you made things so easy...Kudos!!,2
"This was a very helpful tutorial. Carefully prepared and very well presented. Thanks a lot Alice, for sharing your knowledge.",2
"This a wonderful video tutorial, captures from the very first step to the End of a data Science project. Thanks a Lot for this tutorial Alice... :)",2
The way of explanation was very nice.. Keep it up.,2
She is an excellent teacher.,2
"Holy ""F word""! This lesson was insane, thanks for the knowledge!",2
"Thank you Alice! This was very helpful, I learned a lot!",2
thanks Alice. Really nice tutorial.,2
Three Words. I am impressed.,2
Thank you for sharing such knowledge . You are amazing,2
"Well structured content, great presentation and subject harnessing!",2
What a brilliant tutorial! Really simple and intuitive explanations and some really great examples.,2
Great explanation.. You make NLP understandable. Hopely more tutor about Python in combination with NLP.,2
Amazing tutorial! Thanks a lot!! You explain everything flawlessly! :),2
Thanks #PyOhio #Alice,2
Very helpful sharing. Many thanks!,2
Amazing! Thank's for posting it!,2
Brilliant good work,2
nicely explained ...,2
Thank you. Very informative session. :),2
"This was super helpful. Thanks a lot! Learnt about markov chains, sentiment analysis and LDA so beautifully! Great great tutorial. Thanks a lot, again. God bless you. :)",2
U made to understand easily sir please continue teaching,2
Tq so much sir . Ur explaining in a simple way .,2
"Super sir, keep teaching well",2
Very useful,2
Tysm sir,2
Thnku sir for this vedio,2
You are a great teacher and your explanation is very helpful and easy to understand. #c,2
sir very good explanations no one can beat u sir thanks,2
Sir your teaching very excellently,2
Dude you're a Legend!,2
Your teaching style is just osm,2
"why am i seeing ''sir'' word in almost every comment? he is doing a good job, which is teaching. thank you Mr.Srinivas",2
I just want to say Thank You Sir..,2
wonderful Job,2
Excellent way of teaching!.,2
Thank you so much sir,2
Explanation Way Is Super 2nd Video Is Also Super I Decided Daily Wacth one video Tomorrow watch 3rd video And I will commented,2
Thnx.... Sr,2
Thank you so much sir . You teach so well.,2
Awesome,2
Best teacher,2
Nice sir,2
"SIR , I like ,subcribe your channel ,but plzz these video was there in BCA SYLLABUS",2
the way u teaching is easy to understand and good for beginners .and i am not good in english both speaking n writing but i can understand ur english sir.btw I m doing engineering course n pursuing 3rd semester so i wanna apply for college placement so i decided to learn about this because most of the placement questions and question come from programing only. i hope this will be helpful for me,2
Thank you so much sirr,2
Best channel... superb. Thank u so so so much Sir,2
Ur extraordinary person in c language sir and good teaching sir,2
ABC..123..thank you,2
"Sir thank you so much sir. I am studying in Vivekananda government degree college, In my college I am not understanding single line of c programming. But now I became a pro because of u",2
God Bless you Sir !,2
you have amazing experience and ur explanation was so sweet thank you for providing these videos......,2
Thank you Sir perfect teaching please continue sir,2
Thank you so much ðŸ˜Š sir for your valuable lecture.... please continue your journey and our well wishes always with you.,2
Super sir,2
More useful videooos tnkyou,2
Very nicely taught Thanks Sir,2
Your way of teaching is excellent sirðŸ‘Œ,2
thank u,2
best teacher ever.thank you so much sir,2
simple and best ðŸ‘ðŸ‘ðŸ¼,2
Your teaching so good and every one can understand your class,2
Thank you for sharing information about c language and programming of computer,2
Crystal clear teaching quality...the way you touch to every concept is awesome ðŸ‘Œ grt sir,2
Thanks sir,2
You are really super,2
Tq sir and continue,2
Super your explanation is good you great,2
Your way of teaching is excellent sirðŸ™ðŸ‘ŒâœŒï¸,2
great explanation,2
